Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
55(8),,2974.28,,,0.26,
58(8),,1345.94,,,0.26,
50(12),,22840.19,,,0.15,
54(14),,55615.33,,,0.18,
52(11),,2403.96,,,0.17,
53(14),,37034.01,,,0.26,
54(21),,2493748.8,,,0.19,
61(13),,64988.47,,,0.31,
61(11),,14186.35,,,0.29,
57(14),,118020.25,,,0.23,
52(10),,7565.32,,,0.14,
55(11),,3716.01,,,0.16,
39(2),,158.26,,,0.1,
43(10),,747.28,,,0.13,
53(14),,103096.99,,,0.16,
56(8),,2553.45,,,0.14,
52(23),,6803472.51,,,0.2,
53(12),,21008.83,,,0.18,
49(15),,103930.37,,,0.33,
