Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL
54(25),0.18,,4.87,
43(3),0.09,,1.9,
31(13),0.09,,0.91,
6(1),0.02,,0.13,
26(3),0.06,,0.8,
37(15),0.12,,2.57,
77(33),0.27,,13.61,
16(4),0.05,,0.52,
3(1),0.01,,0.06,
3(1),0.01,,0.06,
70(25),0.22,,8.74,
22(3),0.06,,0.68,
3(1),0.02,,0.06,
47(9),0.12,,2.47,
60(12),0.15,,4.0,
61(8),0.14,,4.93,
41(10),0.12,,2.05,
23(9),0.23,,0.56,
15(6),0.15,,0.41,
15(1),0.04,,0.36,
55(20),0.18,,4.13,
62(16),0.17,,4.82,
89(20),0.21,,11.27,
12(3),0.04,,0.28,
2(0),0.01,,0.04,
12(1),0.03,,0.25,
49(7),0.12,,2.81,
60(22),0.22,,4.28,
33(6),0.09,,1.13,
3(1),0.01,,0.12,
4(1),0.01,,0.09,
51(20),0.21,,3.14,
44(13),0.16,,2.13,
38(8),0.1,,1.83,
47(11),0.13,,4.39,
75(31),0.26,,5.86,
